# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
😀	1F600	fully-qualified	E1.0	grinning face
😃	1F603	fully-qualified	E0.6	grinning face with big eyes
😄	1F604	fully-qualified	E0.6	grinning face with smiling eyes
😁	1F601	fully-qualified	E0.6	beaming face with smiling eyes
😆	1F606	fully-qualified	E0.6	grinning squinting face
😅	1F605	fully-qualified	E0.6	grinning face with sweat
🤣	1F923	fully-qualified	E3.0	rolling on the floor laughing
😂	1F602	fully-qualified	E0.6	face with tears of joy
🙂	1F642	fully-qualified	E1.0	slightly smiling face
🙃	1F643	fully-qualified	E1.0	upside-down face
🫠	1FAE0	fully-qualified	E14.0	melting face
😉	1F609	fully-qualified	E0.6	winking face
😊	1F60A	fully-qualified	E0.6	smiling face with smiling eyes
😇	1F607	fully-qualified	E1.0	smiling face with halo
🥰	1F970	fully-qualified	E11.0	smiling face with hearts
😍	1F60D	fully-qualified	E0.6	smiling face with heart-eyes
🤩	1F929	fully-qualified	E5.0	star-struck
😘	1F618	fully-qualified	E0.6	face blowing a kiss
😗	1F617	fully-qualified	E1.0	kissing face
☺️	263A FE0F	fully-qualified	E0.6	smiling face
☺	263A	unqualified	E0.6	smiling face
😚	1F61A	fully-qualified	E0.6	kissing face with closed eyes
😙	1F619	fully-qualified	E1.0	kissing face with smiling eyes
🥲	1F972	fully-qualified	E13.0	smiling face with tear
😋	1F60B	fully-qualified	E0.6	face savoring food
😛	1F61B	fully-qualified	E1.0	face with tongue
😜	1F61C	fully-qualified	E0.6	winking face with tongue
🤪	1F92A	fully-qualified	E5.0	zany face
😝	1F61D	fully-qualified	E0.6	squinting face with tongue
🤑	1F911	fully-qualified	E1.0	money-mouth face
🤗	1F917	fully-qualified	E1.0	smiling face with open hands
🤭	1F92D	fully-qualified	E5.0	face with hand over mouth
🫢	1FAE2	fully-qualified	E14.0	face with open eyes and hand over mouth
🫣	1FAE3	fully-qualified	E14.0	face with peeking eye
🤫	1F92B	fully-qualified	E5.0	shushing face
🤔	1F914	fully-qualified	E1.0	thinking face
🫡	1FAE1	fully-qualified	E14.0	saluting face
🤐	1F910	fully-qualified	E1.0	zipper-mouth face
🤨	1F928	fully-qualified	E5.0	face with raised eyebrow
😐	1F610	fully-qualified	E0.7	neutral face
😑	1F611	fully-qualified	E1.0	expressionless face
😶	1F636	fully-qualified	E1.0	face without mouth
🫥	1FAE5	fully-qualified	E14.0	dotted line face
😶‍🌫️	1F636 200D 1F32B FE0F	fully-qualified	E13.1	face in clouds
😶‍🌫	1F636 200D 1F32B	minimally-qualified	E13.1	face in clouds
😏	1F60F	fully-qualified	E0.6	smirking face
😒	1F612	fully-qualified	E0.6	unamused face
🙄	1F644	fully-qualified	E1.0	face with rolling eyes
😬	1F62C	fully-qualified	E1.0	grimacing face
😮‍💨	1F62E 200D 1F4A8	fully-qualified	E13.1	face exhaling
🤥	1F925	fully-qualified	E3.0	lying face
🫨	1FAE8	fully-qualified	E15.0	shaking face
🙂‍↔️	1F642 200D 2194 FE0F	fully-qualified	E15.1	head shaking horizontally
🙂‍↔	1F642 200D 2194	minimally-qualified	E15.1	head shaking horizontally
🙂‍↕️	1F642 200D 2195 FE0F	fully-qualified	E15.1	head shaking vertically
🙂‍↕	1F642 200D 2195	minimally-qualified	E15.1	head shaking vertically
😌	1F60C	fully-qualified	E0.6	relieved face
😔	1F614	fully-qualified	E0.6	pensive face
😪	1F62A	fully-qualified	E0.6	sleepy face
🤤	1F924	fully-qualified	E3.0	drooling face
😴	1F634	fully-qualified	E1.0	sleeping face
🫩	1FAE9	fully-qualified	E16.0	face with bags under eyes
😷	1F637	fully-qualified	E0.6	face with medical mask
🤒	1F912	fully-qualified	E1.0	face with thermometer
🤕	1F915	fully-qualified	E1.0	face with head-bandage
🤢	1F922	fully-qualified	E3.0	nauseated face
🤮	1F92E	fully-qualified	E5.0	face vomiting
🤧	1F927	fully-qualified	E3.0	sneezing face
🥵	1F975	fully-qualified	E11.0	hot face
🥶	1F976	fully-qualified	E11.0	cold face
🥴	1F974	fully-qualified	E11.0	woozy face
😵	1F635	fully-qualified	E0.6	face with crossed-out eyes
😵‍💫	1F635 200D 1F4AB	fully-qualified	E13.1	face with spiral eyes
🤯	1F92F	fully-qualified	E5.0	exploding head
🤠	1F920	fully-qualified	E3.0	cowboy hat face
🥳	1F973	fully-qualified	E11.0	partying face
🥸	1F978	fully-qualified	E13.0	disguised face
😎	1F60E	fully-qualified	E1.0	smiling face with sunglasses
🤓	1F913	fully-qualified	E1.0	nerd face
🧐	1F9D0	fully-qualified	E5.0	face with monocle
😕	1F615	fully-qualified	E1.0	confused face
🫤	1FAE4	fully-qualified	E14.0	face with diagonal mouth
😟	1F61F	fully-qualified	E1.0	worried face
🙁	1F641	fully-qualified	E1.0	slightly frowning face
☹️	2639 FE0F	fully-qualified	E0.7	frowning face
☹	2639	unqualified	E0.7	frowning face
😮	1F62E	fully-qualified	E1.0	face with open mouth
😯	1F62F	fully-qualified	E1.0	hushed face
😲	1F632	fully-qualified	E0.6	astonished face
😳	1F633	fully-qualified	E0.6	flushed face
🫪	1FAEA	fully-qualified	E17.0	distorted face
🥺	1F97A	fully-qualified	E11.0	pleading face
🥹	1F979	fully-qualified	E14.0	face holding back tears
😦	1F626	fully-qualified	E1.0	frowning face with open mouth
😧	1F627	fully-qualified	E1.0	anguished face
😨	1F628	fully-qualified	E0.6	fearful face
😰	1F630	fully-qualified	E0.6	anxious face with sweat
😥	1F625	fully-qualified	E0.6	sad but relieved face
😢	1F622	fully-qualified	E0.6	crying face
😭	1F62D	fully-qualified	E0.6	loudly crying face
😱	1F631	fully-qualified	E0.6	face screaming in fear
😖	1F616	fully-qualified	E0.6	confounded face
😣	1F623	fully-qualified	E0.6	persevering face
😞	1F61E	fully-qualified	E0.6	disappointed face
😓	1F613	fully-qualified	E0.6	downcast face with sweat
😩	1F629	fully-qualified	E0.6	weary face
😫	1F62B	fully-qualified	E0.6	tired face
🥱	1F971	fully-qualified	E12.0	yawning face
😤	1F624	fully-qualified	E0.6	face with steam from nose
😡	1F621	fully-qualified	E0.6	enraged face
😠	1F620	fully-qualified	E0.6	angry face
🤬	1F92C	fully-qualified	E5.0	face with symbols on mouth
😈	1F608	fully-qualified	E1.0	smiling face with horns
👿	1F47F	fully-qualified	E0.6	angry face with horns
💀	1F480	fully-qualified	E0.6	skull
☠️	2620 FE0F	fully-qualified	E1.0	skull and crossbones
☠	2620	unqualified	E1.0	skull and crossbones
💩	1F4A9	fully-qualified	E0.6	pile of poo
🤡	1F921	fully-qualified	E3.0	clown face
👹	1F479	fully-qualified	E0.6	ogre
👺	1F47A	fully-qualified	E0.6	goblin
👻	1F47B	fully-qualified	E0.6	ghost
👽	1F47D	fully-qualified	E0.6	alien
👾	1F47E	fully-qualified	E0.6	alien monster
🤖	1F916	fully-qualified	E1.0	robot
😺	1F63A	fully-qualified	E0.6	grinning cat
😸	1F638	fully-qualified	E0.6	grinning cat with smiling eyes
😹	1F639	fully-qualified	E0.6	cat with tears of joy
😻	1F63B	fully-qualified	E0.6	smiling cat with heart-eyes
😼	1F63C	fully-qualified	E0.6	cat with wry smile
😽	1F63D	fully-qualified	E0.6	kissing cat
🙀	1F640	fully-qualified	E0.6	weary cat
😿	1F63F	fully-qualified	E0.6	crying cat
😾	1F63E	fully-qualified	E0.6	pouting cat
🙈	1F648	fully-qualified	E0.6	see-no-evil monkey
🙉	1F649	fully-qualified	E0.6	hear-no-evil monkey
🙊	1F64A	fully-qualified	E0.6	speak-no-evil monkey
💌	1F48C	fully-qualified	E0.6	love letter
💘	1F498	fully-qualified	E0.6	heart with arrow
💝	1F49D	fully-qualified	E0.6	heart with ribbon
💖	1F496	fully-qualified	E0.6	sparkling heart
💗	1F497	fully-qualified	E0.6	growing heart
💓	1F493	fully-qualified	E0.6	beating heart
💞	1F49E	fully-qualified	E0.6	revolving hearts
💕	1F495	fully-qualified	E0.6	two hearts
💟	1F49F	fully-qualified	E0.6	heart decoration
❣️	2763 FE0F	fully-qualified	E1.0	heart exclamation
❣	2763	unqualified	E1.0	heart exclamation
💔	1F494	fully-qualified	E0.6	broken heart
❤️‍🔥	2764 FE0F 200D 1F525	fully-qualified	E13.1	heart on fire
❤‍🔥	2764 200D 1F525	unqualified	E13.1	heart on fire
❤️‍🩹	2764 FE0F 200D 1FA79	fully-qualified	E13.1	mending heart
❤‍🩹	2764 200D 1FA79	unqualified	E13.1	mending heart
❤️	2764 FE0F	fully-qualified	E0.6	red heart
❤	2764	unqualified	E0.6	red heart
🩷	1FA77	fully-qualified	E15.0	pink heart
🧡	1F9E1	fully-qualified	E5.0	orange heart
💛	1F49B	fully-qualified	E0.6	yellow heart
💚	1F49A	fully-qualified	E0.6	green heart
💙	1F499	fully-qualified	E0.6	blue heart
🩵	1FA75	fully-qualified	E15.0	light blue heart
💜	1F49C	fully-qualified	E0.6	purple heart
🤎	1F90E	fully-qualified	E12.0	brown heart
🖤	1F5A4	fully-qualified	E3.0	black heart
🩶	1FA76	fully-qualified	E15.0	grey heart
🤍	1F90D	fully-qualified	E12.0	white heart
💋	1F48B	fully-qualified	E0.6	kiss mark
💯	1F4AF	fully-qualified	E0.6	hundred points
💢	1F4A2	fully-qualified	E0.6	anger symbol
🫯	1FAEF	fully-qualified	E17.0	fight cloud
💥	1F4A5	fully-qualified	E0.6	collision
💫	1F4AB	fully-qualified	E0.6	dizzy
💦	1F4A6	fully-qualified	E0.6	sweat droplets
💨	1F4A8	fully-qualified	E0.6	dashing away
🕳️	1F573 FE0F	fully-qualified	E0.7	hole
🕳	1F573	unqualified	E0.7	hole
💬	1F4AC	fully-qualified	E0.6	speech balloon
👁️‍🗨️	1F441 FE0F 200D 1F5E8 FE0F	fully-qualified	E2.0	eye in speech bubble
👁‍🗨️	1F441 200D 1F5E8 FE0F	unqualified	E2.0	eye in speech bubble
👁️‍🗨	1F441 FE0F 200D 1F5E8	minimally-qualified	E2.0	eye in speech bubble
👁‍🗨	1F441 200D 1F5E8	unqualified	E2.0	eye in speech bubble
🗨️	1F5E8 FE0F	fully-qualified	E2.0	left speech bubble
🗨	1F5E8	unqualified	E2.0	left speech bubble
🗯️	1F5EF FE0F	fully-qualified	E0.7	right anger bubble
🗯	1F5EF	unqualified	E0.7	right anger bubble
💭	1F4AD	fully-qualified	E1.0	thought balloon
💤	1F4A4	fully-qualified	E0.6	ZZZ
👋	1F44B	fully-qualified	E0.6	waving hand
👋🏻	1F44B 1F3FB	fully-qualified	E1.0	waving hand: light skin tone
👋🏼	1F44B 1F3FC	fully-qualified	E1.0	waving hand: medium-light skin tone
👋🏽	1F44B 1F3FD	fully-qualified	E1.0	waving hand: medium skin tone
👋🏾	1F44B 1F3FE	fully-qualified	E1.0	waving hand: medium-dark skin tone
👋🏿	1F44B 1F3FF	fully-qualified	E1.0	waving hand: dark skin tone
🤚	1F91A	fully-qualified	E3.0	raised back of hand
🤚🏻	1F91A 1F3FB	fully-qualified	E3.0	raised back of hand: light skin tone
🤚🏼	1F91A 1F3FC	fully-qualified	E3.0	raised back of hand: medium-light skin tone
🤚🏽	1F91A 1F3FD	fully-qualified	E3.0	raised back of hand: medium skin tone
🤚🏾	1F91A 1F3FE	fully-qualified	E3.0	raised back of hand: medium-dark skin tone
🤚🏿	1F91A 1F3FF	fully-qualified	E3.0	raised back of hand: dark skin tone
🖐️	1F590 FE0F	fully-qualified	E0.7	hand with fingers splayed
🖐	1F590	unqualified	E0.7	hand with fingers splayed
🖐🏻	1F590 1F3FB	fully-qualified	E1.0	hand with fingers splayed: light skin tone
🖐🏼	1F590 1F3FC	fully-qualified	E1.0	hand with fingers splayed: medium-light skin tone
🖐🏽	1F590 1F3FD	fully-qualified	E1.0	hand with fingers splayed: medium skin tone
🖐🏾	1F590 1F3FE	fully-qualified	E1.0	hand with fingers splayed: medium-dark skin tone
🖐🏿	1F590 1F3FF	fully-qualified	E1.0	hand with fingers splayed: dark skin tone
✋	270B	fully-qualified	E0.6	raised hand
✋🏻	270B 1F3FB	fully-qualified	E1.0	raised hand: light skin tone
✋🏼	270B 1F3FC	fully-qualified	E1.0	raised hand: medium-light skin tone
✋🏽	270B 1F3FD	fully-qualified	E1.0	raised hand: medium skin tone
✋🏾	270B 1F3FE	fully-qualified	E1.0	raised hand: medium-dark skin tone
✋🏿	270B 1F3FF	fully-qualified	E1.0	raised hand: dark skin tone
🖖	1F596	fully-qualified	E1.0	vulcan salute
🖖🏻	1F596 1F3FB	fully-qualified	E1.0	vulcan salute: light skin tone
🖖🏼	1F596 1F3FC	fully-qualified	E1.0	vulcan salute: medium-light skin tone
🖖🏽	1F596 1F3FD	fully-qualified	E1.0	vulcan salute: medium skin tone
